"id","packetSize","interArrival","flowDuration","arrivalTimestamp"
"0","7.714286","2462430.605522","32.011598","2026-04-25 00:00:02.462000"
"1","7.714286","2452583.386348","31.883584","2026-04-25 00:00:04.915000"
"2","7.428571","2471081.000108","32.124053","2026-04-25 00:00:07.386000"
"3","7.428571","2458543.318969","31.961063","2026-04-25 00:00:09.845000"
"4","7.714286","2454027.836139","31.902362","2026-04-25 00:00:12.299000"
"5","7.714286","2451514.317439","31.869686","2026-04-25 00:00:14.750000"
"6","7.714286","2468823.928099","32.094711","2026-04-25 00:00:17.219000"
"7","7.714286","2469539.312216","32.104011","2026-04-25 00:00:19.689000"
"8","7.714286","2463612.849896","32.026967","2026-04-25 00:00:22.152000"
"9","7.714286","2465279.762562","32.048637","2026-04-25 00:00:24.617000"
"10","7.714286","2459773.613856","31.977057","2026-04-25 00:00:27.077000"
"11","7.57142899999999","2458639.071538","31.962308","2026-04-25 00:00:29.536000"
"12","7.57142899999999","2458869.383885","31.965302","2026-04-25 00:00:31.995000"
"13","7.714286","2452702.063781","31.885127","2026-04-25 00:00:34.447000"
"14","7.714286","2455890.618838","31.926578","2026-04-25 00:00:36.903000"
"15","7.714286","2466262.762363","32.0614159999999","2026-04-25 00:00:39.370000"
"16","7.714286","2463469.927128","32.025109","2026-04-25 00:00:41.833000"
"17","7.714286","2454480.538001","31.908247","2026-04-25 00:00:44.288000"
"18","7.714286","2462249.077283","32.009238","2026-04-25 00:00:46.750000"
"19","7.714286","2456191.154627","31.930485","2026-04-25 00:00:49.206000"
"20","7.714286","2465274.774111","32.048572","2026-04-25 00:00:51.671000"
"21","7.714286","2465713.702715","32.054278","2026-04-25 00:00:54.137000"
"22","7.714286","2455924.767714","31.927022","2026-04-25 00:00:56.593000"
"23","7.714286","2464494.081644","32.038423","2026-04-25 00:00:59.057000"
"24","7.714286","2459189.690076","31.969466","2026-04-25 00:01:01.517000"
"25","7.714286","2457706.084618","31.950179","2026-04-25 00:01:03.974000"
"26","7.714286","2465176.0138","32.047288","2026-04-25 00:01:06.439000"
"27","7.714286","2454737.55323","31.911588","2026-04-25 00:01:08.894000"
"28","7.714286","2468824.625015","32.09472","2026-04-25 00:01:11.363000"
"29","7.714286","2469148.397446","32.098929","2026-04-25 00:01:13.832000"
"30","7.428571","2468667.690571","32.09268","2026-04-25 00:01:16.301000"
"31","7.714286","2466506.242752","32.064581","2026-04-25 00:01:18.767000"
"32","7.714286","2467997.459265","32.083967","2026-04-25 00:01:21.235000"
"33","7.714286","2459144.463906","31.968878","2026-04-25 00:01:23.694000"
"34","7.714286","2455593.622648","31.922717","2026-04-25 00:01:26.150000"
"35","7.714286","2465573.530931","32.052456","2026-04-25 00:01:28.616000"
"36","7.714286","2453691.390844","31.897988","2026-04-25 00:01:31.069000"
"37","7.714286","2467359.762925","32.075677","2026-04-25 00:01:33.537000"
"38","7.714286","2453634.610543","31.89725","2026-04-25 00:01:35.990000"
"39","7.714286","2456433.149484","31.933631","2026-04-25 00:01:38.447000"
"40","7.714286","2454427.223939","31.907554","2026-04-25 00:01:40.901000"
"41","7.714286","2456107.322986","31.929395","2026-04-25 00:01:43.357000"
"42","7.714286","2463713.921033","32.028281","2026-04-25 00:01:45.821000"
"43","7.714286","2469161.235369","32.099096","2026-04-25 00:01:48.290000"
"44","7.714286","2460631.535603","31.98821","2026-04-25 00:01:50.751000"
"45","7.714286","2471210.993253","32.125743","2026-04-25 00:01:53.222000"
"46","7.714286","2467241.378931","32.074138","2026-04-25 00:01:55.689000"
"47","7.714286","2468975.855754","32.096686","2026-04-25 00:01:58.158000"
"48","7.714286","2460372.631366","31.984844","2026-04-25 00:02:00.619000"
"49","7.714286","2468218.546647","32.086841","2026-04-25 00:02:03.087000"
"50","7.714286","2460255.769583","31.983325","2026-04-25 00:02:05.547000"
"51","7.714286","2467723.222879","32.080402","2026-04-25 00:02:08.015000"
"52","7.714286","2466820.074962","32.068661","2026-04-25 00:02:10.482000"
"53","7.714286","2458779.078264","31.964128","2026-04-25 00:02:12.940000"
"54","7.714286","2459662.162341","31.975608","2026-04-25 00:02:15.400000"
"55","7.714286","2444865.080026","31.783246","2026-04-25 00:02:17.845000"
"56","7.428571","2461895.704269","32.004644","2026-04-25 00:02:20.307000"
"57","7.428571","2464761.220492","32.041896","2026-04-25 00:02:22.772000"
"58","7.428571","2475080.985289","32.176053","2026-04-25 00:02:25.247000"
"59","7.714286","2468149.753717","32.085947","2026-04-25 00:02:27.715000"
"60","7.428571","2450134.772521","31.851752","2026-04-25 00:02:30.165000"
"61","7.428571","2466580.005792","32.06554","2026-04-25 00:02:32.632000"
"62","7.428571","2468452.765391","32.089886","2026-04-25 00:02:35.100000"
"63","7.714286","2473937.456424","32.161187","2026-04-25 00:02:37.574000"
"64","7.428571","2469752.678504","32.1067849999999","2026-04-25 00:02:40.044000"
"65","7.428571","2447812.924018","31.821568","2026-04-25 00:02:42.491000"
"66","7.714286","2462346.553802","32.010505","2026-04-25 00:02:44.954000"
"67","7.428571","2470077.991486","32.111014","2026-04-25 00:02:47.424000"
"68","7.428571","2456676.299755","31.936792","2026-04-25 00:02:49.881000"
"69","7.428571","2457158.528841","31.943061","2026-04-25 00:02:52.338000"
"70","7.714286","2469585.767159","32.104615","2026-04-25 00:02:54.807000"
"71","7.428571","2475810.83958","32.185541","2026-04-25 00:02:57.283000"
"72","7.428571","2462638.543202","32.014301","2026-04-25 00:02:59.746000"
"73","7.428571","2462146.447255","32.007904","2026-04-25 00:03:02.208000"
"74","7.428571","2459667.774347","31.975681","2026-04-25 00:03:04.668000"
"75","7.428571","2468204.846749","32.086663","2026-04-25 00:03:07.136000"
